name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff
Kepler-1089 b,,0.163,5.13248562,0.04761199288619825,0.0286,647.6,Primary Transit,Kepler-1089,-0.09,0.52,0.49,3753.0
Kepler-108 Bb,,0.732,49.183921,0.2829,0.22000000000000003,669.0,Primary Transit,Kepler-108 B,0.36,1.247,2.057,5626.0
Kepler-108 Bc,,0.6941,190.323494,0.6972,0.04,426.0,Primary Transit,Kepler-108 B,0.36,1.247,2.057,5626.0
Kepler-1090 Ab,,0.201,198.680179,0.6517231009759599,0.0,758.2,Primary Transit,Kepler-1090 A,-0.039999999999999994,0.89,1.035,5217.0
Kepler-1090 Ac,,0.29369,42.42720032,0.2274,0.0,496.0,Primary Transit,Kepler-1090 A,-0.039999999999999994,0.89,1.035,5217.0
Kepler-1091 b,,0.13,1.43474156,0.025397228616847706,0.002699999999999994,1042.8,Primary Transit,Kepler-1091,0.0,1.01,1.03,5851.0
Kepler-1092 b,,0.185,58.6017925,0.2992143489119945,0.0838,1612.6,Primary Transit,Kepler-1092,-0.09,0.99,1.0,5862.0
Kepler-1093 b,,0.174,25.0824626,0.17759729554584133,0.013999999999999985,827.6,Primary Transit,Kepler-1093,-0.01,1.13,1.2,6166.0
Kepler-1093 c,,0.175,89.722292,0.41539041587955916,0.013999999999999985,827.6,Primary Transit,Kepler-1093,-0.01,1.13,1.2,6166.0
Kepler-1094 b,,0.284,78.1000231,0.3798094883192158,0.132,1073.4,Primary Transit,Kepler-1094,0.06,1.14,1.21,6112.0
Kepler-1095 b,,0.108,4.27103091,0.05131305189375644,0.10339999999999999,735.4,Primary Transit,Kepler-1095,-0.09,0.94,0.92,5658.0
Kepler-1096 b,,0.111,2.89221751,0.03516943277286553,0.072,676.6000000000001,Primary Transit,Kepler-1096,-0.1,0.66,0.63,4306.0
Kepler-1097 b,,0.291,187.747029,0.6106842944104968,0.0398,809.6,Primary Transit,Kepler-1097,-0.11,0.82,0.79,5211.0
Kepler-1098 b,,0.116,2.54307286,0.036949992242993564,0.0772,1475.0,Primary Transit,Kepler-1098,-0.02,0.99,0.99,5794.0
Kepler-1099 b,,0.252,2.16845259,0.03344802636262803,0.7504,1141.8,Primary Transit,Kepler-1099,-0.02,1.01,1.0,5837.0
Kepler-109 Ab,0.02297,0.211,6.48163,0.07127852148227307,0.21000000000000002,1049.0,Primary Transit,Kepler-109 A,-0.02,1.094,1.387,5950.0
Kepler-109 Ac,0.06859,0.225,21.2227,0.15716998630566145,0.03,1260.6,Primary Transit,Kepler-109 A,-0.02,1.094,1.387,5950.0
Kepler-10 b,0.01019,0.1311,0.837491,0.01685,0.06,2188.0,Primary Transit,Kepler-10,-0.15,0.91,1.06,5708.0
Kepler-10 c,0.03552,0.2101,45.2943,0.241,0.136,579.0,Primary Transit,Kepler-10,-0.15,0.91,1.06,5708.0
Kepler-1100 b,,0.156,6.42200058,0.07326087505443787,0.1502,1131.6,Primary Transit,Kepler-1100,0.05,1.21,1.34,6247.0
Kepler-1101 b,,0.22,81.3151059,0.36586443154484005,0.06939999999999999,851.2,Primary Transit,Kepler-1101,-0.039999999999999994,0.94,0.91,5614.0
Kepler-1102 b,,0.237,51.3285623,0.27111896358258414,0.05659999999999999,837.0,Primary Transit,Kepler-1102,-0.08,0.96,0.94,5724.0
Kepler-1103 b,,0.203,19.79191978,0.15075198022788655,0.08600000000000001,996.0,Primary Transit,Kepler-1103,-0.01,1.11,1.15,6092.0
Kepler-1104 b,,0.11,5.03728015,0.06381781618033652,0.2244,1739.8,Primary Transit,Kepler-1104,0.13,1.3,1.41,6417.0
Kepler-1105 b,,0.179,4.42157218,0.04782269135500745,0.21400000000000002,762.5400000000001,Primary Transit,Kepler-1105,0.28,0.71,0.68,4299.0
Kepler-1106 b,,0.147,1.25275217,0.02394314450849041,0.06,1131.0,Primary Transit,Kepler-1106,0.0,1.11,1.17,6104.0
Kepler-1107 b,,0.12,0.57103852,0.013024863234378826,0.034,956.8,Primary Transit,Kepler-1107,0.01,0.86,0.82,5268.0
Kepler-1108 b,,0.13,4.51005748,0.05205299146845824,0.0862,936.4,Primary Transit,Kepler-1108,-0.09,0.88,0.84,5406.0
Kepler-1109 b,,0.195,37.6467384,0.22718418132900225,0.2258,1373.0,Primary Transit,Kepler-1109,0.04000000000000001,1.05,1.06,5893.0
Kepler-110 b,,0.163,12.691112,0.107,0.047200000000000006,701.4000000000001,Primary Transit,Kepler-110,-0.151,0.7548,1.15,5960.0
Kepler-110 c,,0.197,31.719775,0.198,0.047200000000000006,701.4000000000001,Primary Transit,Kepler-110,-0.151,0.7548,1.15,5960.0
Kepler-1110 b,,0.237,9.69312032,0.08145419209032638,0.1006,648.1759999999999,Primary Transit,Kepler-1110,-0.16,0.73,0.7,4781.0
Kepler-1111 b,,0.178,8.79617863,0.08753001574121483,0.3,923.6,Primary Transit,Kepler-1111,0.019999999999999997,1.1,1.15,6077.0
Kepler-1112 b,,0.269,14.36267939,0.12962496779332916,0.32402,1263.0,Primary Transit,Kepler-1112,0.04000000000000001,1.34,1.54,6496.0
Kepler-1113 b,,0.251,42.3004954,0.25088020427801244,0.1502,1102.4,Primary Transit,Kepler-1113,0.18,1.12,1.17,5931.0
Kepler-1114 b,,0.12,14.97435694,0.1154078338452234,0.078,1178.2,Primary Transit,Kepler-1114,-0.08,0.87,0.83,5374.0
Kepler-1115 b,,0.152,23.5540725,0.19124088752451596,0.16999999999999998,1679.2,Primary Transit,Kepler-1115,-0.51,1.6,1.73,8480.0
Kepler-1116 b,,0.227,41.6977827,0.23522307744908735,0.1014,923.6,Primary Transit,Kepler-1116,0.01,0.95,0.93,5641.0
